geolocalisation;latitude;longitude
48.564849, 2.441479;48.564849;2.441479
43.775396, 7.50197;43.775396;7.50197
46.773516, 6.350469;46.773516;6.350469
45.90391, 5.192869;45.90391;5.192869
48.202673, -1.730539;48.202673;-1.730539
46.36675, 5.996859;46.36675;5.996859
46.457868, 5.758014;46.457868;5.758014
44.650724, 0.079158;44.650724;0.079158
48.200293, -2.049655;48.200293;-2.049655
47.6229, 4.338005;47.6229;4.338005
47.286138, 0.703952;47.286138;0.703952
49.647736, 2.570756;49.647736;2.570756
48.703763, 2.46109;48.703763;2.46109
45.063871, 1.163498;45.063871;1.163498
48.77004, 2.03446;48.77004;2.03446
48.997001, 2.200873;48.997001;2.200873
49.534592, 0.181289;49.534592;0.181289
43.61435, 3.828731;43.61435;3.828731
44.495224, 4.20018;44.495224;4.20018
48.136733, -0.555009;48.136733;-0.555009
44.033295, -0.911916;44.033295;-0.911916
45.676633, 5.469622;45.676633;5.469622
49.780148, 2.47974;49.780148;2.47974
46.523212, 6.020616;46.523212;6.020616
48.575673, -3.827938;48.575673;-3.827938
46.190882, 6.776907;46.190882;6.776907
45.483587, 6.527476;45.483587;6.527476
48.03997, 7.14025;48.03997;7.14025
48.101851, 7.468382;48.101851;7.468382
48.689694, 6.178976;48.689694;6.178976
48.892601, 2.195729;48.892601;2.195729
