numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune;nomCommune
118135;FRANCOIS TRUFFAUT;7 RUE CARCANO;ASSOCIATION OFFICE MUNICIPAL D'ANIMATION;;FIXE;NON;48.763489, 5.589497;Grand-Est;55;55122;Commercy
119122;CINEMA MUNICIPAL;CINEMA MUNICIPAL;LIGUE DE L' ENSEIGNEMENT DE BASSE-NORMANDIE;GENERIQUE;ITINERANT;NON;49.06477, -1.036857;Normandie;50;50139;Conde-sur-Vire
119281;JEAN VILAR;1 RUE DES DOCTEURS GRANDJEAN;CENTRE CULTUREL JEAN VILAR - CINEMA LUX;;FIXE;NON;49.168276, 5.857616;Grand-Est;54;54136;Conflans-en-Jarnisy
125322;LE TRAVELLING;RUE ARISTIDE BRIAND;ASSOCIATION CULTURE ET RENCONTRES;SONHIR;FIXE;NON;50.453829, 2.940575;Hauts-de-France;62;62250;Courrieres
126311;LE LONG-COURT;5 RUE PAUL MAUNDRELL;SOCIETE DU CINEMA MAJESTIC;;FIXE;NON;49.050552, -1.444356;Normandie;50;50147;Coutances
127501;HENRI GEORGES CLOUZOT;RUE DU CHAMPS DE FOIRE;COMMUNE DE LA CRECHE;SNC SAGEC - CINE 32 VEO;FIXE;NON;46.362399, -0.298072;Nouvelle Aquitaine;79;79048;La Creche
127661;LA FAIENCERIE;ALLEE NELSON;OFFICE MUNICIPAL CULTUREL DE CREIL;;FIXE;NON;49.259398, 2.472183;Hauts-de-France;60;60175;Creil
131031;LE CIGALON;COURS DE POURRIERES;ASSOCIATION CULTURE ET LOISIRS EDEN CINEMA;PROVENCAUX ASSOCIES;FIXE;NON;43.774382, 5.440971;Provence-Alpes-Cote-d'Azur;84;84042;Cucuron
133141;LES CARDINAUX;AVENUE PRAT GODET;CINE DAMGAN;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;FIXE;NON;47.520393, -2.585183;Bretagne;56;56052;Damgan
133621;LE FOYER;RUE ALFRED DORNIER;ASSOCIATION  DES FAMILLES DU  CANTON DE DAMPIERRE SUR SALON;;FIXE;NON;47.553711, 5.676507;Bourgogne - Franche-Comte;70;70198;Dampierre-sur-Salon
136666;LE GRAND CLUB;11 AVENUE DU SABLAR;LE CLUB;SAR LE CLUB (Pfister);FIXE;NON;43.714843, -1.055363;Nouvelle Aquitaine;40;40088;Dax
137663;CINE DESVRES;8, RUE VICTOR LENGAGNE;OFFICE DU TOURISME ET DE LA CULTURE DE DESVRES;ENT. REG. CIN. NORD PAS DE CALAIS;FIXE;NON;50.668276, 1.837675;Hauts-de-France;62;62268;Desvres
138352;CINEMAS GRAND FORUM;ESPLANADE ROSA LEROY;CINE DIEPPE;;FIXE;OUI;49.921565, 1.079726;Normandie;76;76217;Dieppe
138641;MAJESTIC;24 RUE NATIONALE;ENGELS WILLIAM;;FIXE;NON;46.480212, 3.977127;Bourgogne - Franche-Comte;71;71176;Digoin
138712;OLYMPIA;16 AV DU MARECHAL FOCH;GAUMONT;LES CINEMAS GAUMONT PATHE;FIXE;OUI;47.323594, 5.030088;Bourgogne - Franche-Comte;21;21231;Dijon
138922;2 ALIZES SALLE LA MOUETTE;2 BD ALBERT 1ER;EMERAUDE CINEMAS;SAS CINE DIFFUSION;FIXE;NON;48.635211, -2.055645;Bretagne;35;35093;Dinard
139503;CINE DOL;RUE DU LEGEARD;CINE DOL;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;FIXE;NON;48.546939, -1.753756;Bretagne;35;35095;Dol-de-Bretagne
144303;CINEMA DE GOURETTE;GOURETTE;ASSOCIATION GESTION LOCAUX SOCIAUX;;FIXE;NON;42.958713, -0.332293;Nouvelle Aquitaine;64;64204;Eaux-Bonnes
144331;FOYER ARMAGNAC EAUZE;16 PLACE DE LA LIBERTE;OFFICE DU TOURISME D'EAUZE;SNC SAGEC - CINE 32 VEO;FIXE;NON;43.859667, 0.100888;Occitanie;32;32119;Eauze
145792;ECULLY CINEMA;21, AV EDOUARD AYNARD;VILLE D'ECULLY;;FIXE;NON;45.779053, 4.778383;Auvergne - Rhone-Alpes;69;69081;ecully
146013;L ESPLANADE;ESPLANADE CHARLES SPINASSE;CENTRE CULTUREL ET SPORTIF EGLETONNAIS;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.404676, 2.044182;Nouvelle Aquitaine;19;19073;egletons
146762;LE ROC;BOULEVARD PASTEUR;CINEMAS G LAMIC;SARL MC4 DISTRIBUTION;FIXE;NON;44.564376, 6.493852;Provence-Alpes-Cote-d'Azur;5;5046;Embrun
